Date,QQQ,SPY,DIA
2010/1/1,42.790001,107.389999,100.550003
2010/2/1,44.759998,110.739998,103.300003
2010/3/1,48.16,117,108.610001
2010/4/1,49.240002,118.809998,110.099998
2010/5/1,45.599998,109.370003,101.470001
2010/6/1,42.709999,103.220001,97.730003
2010/7/1,45.810001,110.269997,104.699997
2010/8/1,43.459999,105.309998,100.199997
2010/9/1,49.07,114.129997,107.910004
2010/10/1,52.18,118.489998,111.309998
2010/11/1,52.09,118.489998,110.169998
2010/12/1,54.459999,125.75,115.629997
2011/1/1,56,128.679993,118.599998
2011/2/1,57.77,133.149994,122.150002
2011/3/1,57.43,132.589996,123.019997
2011/4/1,59.080002,136.429993,128.039993
2011/5/1,58.360001,134.899994,125.5
2011/6/1,57.049999,131.970001,123.830002
2011/7/1,58,129.330002,121.129997
2011/8/1,55.060001,122.220001,115.949997
2011/9/1,52.490002,113.150002,108.93
2011/10/1,57.950001,125.5,119.339996
2011/11/1,56.389999,124.989998,120.190002
2011/12/1,55.830002,125.5,121.849998
2012/1/1,60.529999,131.320007,126.07
2012/2/1,64.410004,137.020004,129.289993
2012/3/1,67.550003,140.809998,131.800003
2012/4/1,66.760002,139.869995,131.800003
2012/5/1,62.060001,131.470001,123.699997
2012/6/1,64.160004,136.100006,128.449997
2012/7/1,64.800003,137.710007,129.690002
2012/8/1,68.160004,141.160004,130.880005
2012/9/1,68.57,143.970001,134.050003
2012/10/1,64.949997,141.350006,130.600006
2012/11/1,65.800003,142.149994,130.100006
2012/12/1,65.129997,142.410004,130.580002
2013/1/1,66.870003,149.699997,138.410004
2013/2/1,67.099998,151.610001,140.279999
2013/3/1,68.970001,156.669998,145.320007
2013/4/1,70.720001,159.679993,148.020004
2013/5/1,73.25,163.449997,151.100006
2013/6/1,71.269997,160.419998,148.550003
2013/7/1,75.769997,168.710007,154.839996
2013/8/1,75.470001,163.649994,147.850006
2013/9/1,78.879997,168.009995,151
2013/10/1,82.790001,175.789993,155.289993
2013/11/1,85.730003,181,160.720001
2013/12/1,87.959999,184.690002,165.470001
2014/1/1,86.269997,178.179993,156.75
2014/2/1,90.339996,186.289993,163.020004
2014/3/1,87.669998,187.009995,164.240005
2014/4/1,87.389999,188.309998,165.449997
2014/5/1,91.309998,192.679993,166.929993
2014/6/1,93.910004,195.720001,167.889999
2014/7/1,95.019997,193.089996,165.289993
2014/8/1,99.779999,200.710007,170.880005
2014/9/1,98.790001,197.020004,170.070007
2014/10/1,101.400002,201.660004,173.449997
2014/11/1,106.010002,207.199997,178.100006
2014/12/1,103.25,205.539993,177.880005
2015/1/1,101.099998,199.449997,171.449997
2015/2/1,108.400002,210.660004,181.190002
2015/3/1,105.599998,206.429993,177.580002
2015/4/1,107.629997,208.460007,178.179993
2015/5/1,110.050003,211.139999,180.110001
2015/6/1,107.07,205.850006,175.820007
2015/7/1,111.949997,210.5,176.679993
2015/8/1,104.309998,197.669998,165.179993
2015/9/1,101.760002,191.630005,162.619995
2015/10/1,113.330002,207.929993,176.490005
2015/11/1,114.019997,208.690002,177.229996
2015/12/1,111.860001,203.869995,173.990005
2016/1/1,104.129997,193.720001,164.369995
2016/2/1,102.5,193.559998,164.960007
2016/3/1,109.199997,205.520004,176.639999
2016/4/1,105.720001,206.330002,177.589996
2016/5/1,110.339996,209.839996,177.649994
2016/6/1,107.540001,209.479996,179
2016/7/1,115.230003,217.119995,184.130005
2016/8/1,116.440002,217.380005,183.940002
2016/9/1,118.720001,216.300003,182.779999
2016/10/1,116.989998,212.550003,181.169998
2016/11/1,117.5,220.380005,191.399994
2016/12/1,118.480003,223.529999,197.509995
2017/1/1,124.57,227.529999,198.360001
2017/2/1,130.020004,236.470001,207.979996
2017/3/1,132.380005,235.740005,206.339996
2017/4/1,135.990005,238.080002,209.080002
2017/5/1,141.289993,241.440002,210
2017/6/1,137.639999,241.800003,213.240005
2017/7/1,143.229996,246.770004,218.699997
2017/8/1,146.199997,247.490005,219.520004
2017/9/1,145.449997,251.229996,223.820007
2017/10/1,152.149994,257.149994,233.630005
2017/11/1,155.149994,265.01001,242.839996
2017/12/1,155.759995,266.859985,247.380005
2018/1/1,169.399994,281.899994,261.440002
2018/2/1,167.210007,271.649994,250.199997
2018/3/1,160.130005,263.149994,241.399994
2018/4/1,160.940002,264.51001,241.539993
2018/5/1,170.070007,270.940002,244.179993
2018/6/1,171.649994,271.279999,242.729996
2018/7/1,176.449997,281.329987,254.169998
2018/8/1,186.649994,290.309998,259.850006
2018/9/1,185.789993,290.720001,264.399994
2018/10/1,169.820007,270.630005,251.190002
2018/11/1,169.369995,275.649994,255.509995
2018/12/1,154.259995,249.919998,233.199997
2019/1/1,168.160004,269.929993,250.119995
2019/2/1,173.190002,278.679993,259.279999
2019/3/1,179.660004,282.480011,259.130005
2019/4/1,189.539993,294.019989,265.790009
2019/5/1,173.949997,275.269989,248.220001
2019/6/1,186.740005,293,265.850006
2019/7/1,191.100006,297.429993,268.519989
2019/8/1,187.470001,292.450012,264.130005
2019/9/1,188.809998,296.769989,269.179993
2019/10/1,197.080002,303.329987,270.480011
2019/11/1,205.100006,314.309998,280.950012
2019/12/1,212.610001,321.859985,285.100006
2020/1/1,219.070007,321.730011,282.420013
2020/2/1,205.800003,296.26001,254.559998
2020/3/1,190.399994,257.75,219.229996
2020/4/1,218.910004,290.480011,243.220001
2020/5/1,233.360001,304.320007,254.289993
2020/6/1,247.600006,308.359985,257.869995
2020/7/1,265.790009,326.519989,264.350006
2020/8/1,294.880005,349.309998,284.279999
2020/9/1,277.839996,334.890015,277.5
2020/10/1,269.380005,326.540009,265.059998
2020/11/1,299.619995,362.059998,296.619995
2020/12/1,313.73999,373.880005,305.790009
2021/1/1,314.559998,370.070007,299.809998
2021/2/1,314.140015,380.359985,309.450012
2021/3/1,319.130005,396.329987,330.179993
2021/4/1,337.98999,417.299988,338.940002
2021/5/1,333.929993,420.040009,345.640015
2021/6/1,354.429993,428.059998,344.950012
2021/7/1,364.570007,438.51001,349.480011
2021/8/1,379.950012,451.559998,353.920013
2021/9/1,357.959991,429.140015,338.290009
2021/10/1,386.109985,459.25,358.230011
2021/11/1,393.820007,455.559998,344.899994
2021/12/1,397.850006,474.959991,363.320007
